name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
5-methyl-1-hexanol,C7H16O,C7H16O,aq,test,test,test,J,-140390.0,-415720.0,264.73465503941054,688.8804510884557,133.63,111.8583349226,80.685272843,140.48863598630982,-54.103823540878004,655.3724780644405,13.59769,-0.6378204228880655,0
5-methyl-2-hexanol,C7H16O,C7H16O,aq,test,test,test,J,-142200.0,-422380.0,248.4676753312101,696.6657883494966,133.81,111.8523784688,81.199440584,141.26523512403384,-54.349422675664,661.8808039074435,14.132559999999998,-0.6584550221863661,0
5-methyl-3-hexanol,C7H16O,C7H16O,aq,test,test,test,J,-142200.0,-422380.0,248.4676753312101,696.6657883494966,133.81,111.8523784688,81.199440584,141.26523512403384,-54.349422675664,661.8808039074435,14.132559999999998,-0.6584550221863661,0
"2,2-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-134720.00000000003,-415330.00000000006,247.02544826429744,678.775026806646,133.54,111.68623241599998,80.88143887999999,140.71703184186325,-54.16475340447999,644.4768070486394,13.928799999999999,-0.6505633802816906,0
"2,3-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-142399.99999999997,-419809.99999999994,257.75830085527537,679.6657883494966,133.93,112.0024553944,81.143419092,141.24028721330387,-54.351430642631996,645.2864655350488,13.96276,-0.6518760064412241,0
"2,4-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-142399.99999999997,-419809.99999999994,257.75830085527537,679.6657883494966,133.93,112.0024553944,81.143419092,141.24028721330387,-54.351430642631996,645.2864655350488,13.96276,-0.6518760064412241,0
"3,3-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-134720.00000000003,-415330.00000000006,247.02544826429744,678.775026806646,133.54,111.68623241599998,80.88143887999999,140.71703184186325,-54.16475340447999,644.4768070486394,13.928799999999999,-0.6505633802816906,0
"3,4-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-142399.99999999997,-419809.99999999994,257.75830085527537,679.6657883494966,133.93,112.0024553944,81.143419092,141.24028721330387,-54.351430642631996,645.2864655350488,13.96276,-0.6518760064412241,0
"4,4-dimethyl-1-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-134720.00000000003,-415330.00000000006,247.02544826429744,678.775026806646,133.54,111.68623241599998,80.88143887999999,140.71703184186325,-54.16475340447999,644.4768070486394,13.928799999999999,-0.6505633802816906,0
"2,3-dimethyl-2-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136820.00000000003,-427760.0,212.37845849404778,704.5603640676868,133.85,111.86094531799999,81.28809549,141.40305207445726,-54.39365923554,669.572457032021,14.217459999999999,-0.6617544922269336,0
