compound,actual,prediction,pred errs
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
2-Heptanone,,419.05,12.22
4-Heptanone,,415.72,14.34
4-Heptanone,,415.72,14.34
4-Heptanone,,415.72,14.34
4-Heptanone,,415.72,14.34
"2,4-Dimethyl-3-pentanone",,413.61,17.93
"2,4-Dimethyl-3-pentanone",,413.61,17.93
"2,4-Dimethyl-3-pentanone",,413.61,17.93
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
2-Octanone,,482.6,12.3
"2,6-Dimethyl-4-heptanone",,534.05,20.92
"2,6-Dimethyl-4-heptanone",,534.05,20.92
"2,6-Dimethyl-4-heptanone",,534.05,20.92
"2,6-Dimethyl-4-heptanone",,534.05,20.92
2-Nonanone,,546.14,12.38
2-Nonanone,,546.14,12.38
2-Nonanone,,546.14,12.38
2-Nonanone,,546.14,12.38
2-Nonanone,,546.14,12.38
2-Decanone,,609.69,12.45
2-Undecanone,,673.24,12.53
2-Undecanone,,673.24,12.53
Methoxymethane,,147.87,12.76
Methoxymethane,,147.87,12.76
Methoxymethane,,147.87,12.76
Methoxymethane,,147.87,12.76
Methoxymethane,,147.87,12.76
Methoxymethane,,147.87,12.76
Methoxyethane,,225.73,12.67
1-Methoxypropane,,289.28,12.75
1-Methoxypropane,,289.28,12.75
1-Methoxypropane,,289.28,12.75
1-Methoxypropane,,289.28,12.75
2-Methoxypropane,,289.28,25.38
2-Methoxypropane,,289.28,25.38
2-Methoxypropane,,289.28,25.38
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
Diethyl ether,,303.6,12.59
1-Methoxy-2-methylpropane,,348.45,16.69
1-Methoxy-2-methylpropane,,348.45,16.69
1-Methoxy-2-methylpropane,,348.45,16.69
2-Ethoxypropane,,367.14,25.34
2-Ethoxypropane,,367.14,25.34
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
2-Methoxy-2-Methylpropane,,330.0,22.33
1-Methoxybutane,,352.83,12.82
1-Methoxybutane,,352.83,12.82
1-Methoxybutane,,352.83,12.82
1-Ethoxypropane,,362.89,14.22
1-Ethoxypropane,,362.89,14.22
1-Ethoxypropane,,362.89,14.22
1-Ethoxypropane,,362.89,14.22
2-Methoxybutane,,352.82,25.42
2-Methoxybutane,,352.82,25.42
1-Methoxypentane,,416.37,12.89
Isopropyl Propyl Ether,,422.17,26.98
Isopropyl Propyl Ether,,422.17,26.98
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"2,2'-Oxybispropane",,430.68,33.55
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
"1,1'-Oxybispropane",,430.69,12.74
1-Ethoxybutane,,426.43,14.29
1-Ethoxybutane,,426.43,14.29
1-Ethoxybutane,,426.43,14.29
1-Ethoxybutane,,426.43,14.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Ethoxy-2-methylpropane,,407.86,22.29
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
